name,street,city,state,zip,website,phone,source
Canopy Crossroad,9 West St,Red Bank,NJ,7701,https://canopycrossroad.com/age-gate,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Carry-On Cannabis,2379 S Black Horse Pike,Williamstown,NJ,8094,https://gocarryon.com/,(856) 513-3115,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Casa Verde Wellness,315 US-46,Dover,NJ,7801,https://casaverdenj.com/,(973) 343-2322,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Castaway Cannabis,6006 US-130,Delran,NJ,8075,https://www.castawaycanna.com/,(856) 544-3029,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Central Jersey Dispensary,2 John F Kennedy Blvd,Somerset,NJ,8873,https://centraljerseydispensary.com/,(732) 579-4347,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Citi Roots,4585 NJ-27,Kingston,NJ,8528,https://citirootsdispensarynj.com/kingston,(609) 924-4585,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
City Leaves,2516 Fire Rd,Egg Harbor Township,NJ,8234,https://cityleaves.com/,(609) 288-8574,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CityLeaf Dispensary,519 Broadway,Newark,NJ,7104,https://cityleafnj.com/,(973) 333-3399,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cloud Nine Dispensary,513-27 US-22,North Plainfield,NJ,7060,https://www.c9dispensarynj.com/,(908) 588-2874,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Conservatory Cannabis Company,2516 Fire Rd,Egg Harbor Township,NJ,8234,https://www.conservatorycannabis.com/,(609) 904-9409,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cookies Harrison,335 Angelo Cifelli Dr,Harrison,NJ,7029,https://harrison.cookies.co/,(973) 266-5437,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cottonmouth Dispensary,10 E Clements Bridge Rd,Runnemede,NJ,8078,https://getcottonmouth.com/,(856) 312-3877,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CREAM Cannabis Dispensary,284 1st St,Jersey City,NJ,7302,https://cream.online/,(848) 500-9333,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cuzzie's,2750 Mt Ephraim Ave,Camden,NJ,8104,https://www.shopcuzzies.com/stores/camden-nj,(832) 899-4374,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dank Poet Dispensary,245 E Washington Ave,Washington,NJ,7882,https://dankpoet.com/,(908) 450-9900,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Daylite Cannabis,1136 NJ-73,Mt Laurel Township,NJ,8054,https://daylitecannabis.com/,(856) 355-5768,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Somerset,920 Hamilton St,Somerset,NJ,8873,https://thedispensariesofnj.com/somerset,(201) 250-8282,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Union,1603 US-22,Union,NJ,7083,https://thedispensariesofnj.com/union,(201) 250-8282,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dogwood Green,5 Central Ave,West Orange,NJ,7052,https://www.dogwoodgreen.com/,(862) 704-2820,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Doobiez,1612 Union Valley Rd,West Milford,NJ,7480,https://www.doobiez.com/,(888) 789-6465,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy,355 George St,New Brunswick,NJ,8901,https://earthandivy.co/,(848) 227-3260,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy Lakehurst,29 Union Ave,Lakehurst,NJ,8733,https://earthandivy.co/lakehurst-nj-dispensary,(848) 227-3260,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated by TheCannaBossLady,9 Highland Pl,Maplewood,NJ,7040,https://thecannabosslady.com/,(973) 609-9435,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated Herb,1846 NJ-23,West Milford,NJ,7480,https://elevated-herb.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Emerald Tea Supply,368b Broad St,Bloomfield,NJ,7003,https://etsc.store/,(862) 395-8464,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Enlighten Dispensary,781 Rte 70 W,Marlton,NJ,8053,https://enlightendispensary.com/,(856) 702-4420,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Everest Dispensary,1226 Atlantic Ave,Atlantic City,NJ,8401,https://everestdispensary.com/,(609) 783-9333,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Evergreen Nature's Remedy,1242 NJ-23,Butler,NJ,7405,https://evergreen23.com/,(973) 291-2500,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Evolve Cannabis,186 US-130,Bordentown,NJ,8505,https://www.evolvecannanj.com/,(609) 400-5590,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Feels of Green,474 US-206,Newton,NJ,7860,https://app.jointcommerce.com/dispensaries/9967,(973) 291-2404,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fire and Oak,5 Washington St,Mt Holly,NJ,8060,https://www.faomtholly.com/,(609) 901-0698,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Flower & Flame Dispensary,601 College Dr,Blackwood,NJ,8012,https://njflowerandflame.com/,(856) 302-1235,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Flowerbomb Dispensary,1108 Clinton Ave,Irvington,NJ,7111,https://app.jointcommerce.com/dispensaries/11502,(973) 302-6404,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fresh Dispensary Eatontown,315 NJ-35,Eatontown,NJ,7724,https://freshcannabis.co/location/eatontown,(732) 440-7702,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fresh Elizabeth,460 Maple Ave,Elizabeth,NJ,7202,https://freshcannabis.co/location/elizabeth,(908) 316-8786,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
G2 Dispensary,350 US-46,Rockaway,NJ,7866,https://www.g2dispensary.com/menu,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Garden Greenz,190 Newark Ave,Jersey City,NJ,7302,https://gardengreenz201.com/,(201) 963-4500,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Garden State Natural Green,4597 NJ-27,Kingston,NJ,8528,https://gstate.co/,(609) 580-8522,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ginger Hale,814 White Horse Pike,Oaklyn,NJ,8107,https://www.gingerhaledispensary.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Golden Door Dispensary,638 Newark Ave,Jersey City,NJ,7306,https://goldendoordispensary.com/,(973) 735-0950,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Got Your Six Dispensary of New Jersey,4437 NJ-27,Princeton,NJ,8540,https://gotyoursixdispensary.com/,(732) 444-2060,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Haven Industries,402 Elizabeth Ave,Elizabeth,NJ,7206,https://greenhaven-nj.com/,(908) 242-5119,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Knight Cannabis,831 Hamilton St,Somerset,NJ,8873,https://greenknightdispensary.com/,(732) 444-2080,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Lightning Cannabis,1503 Taylors Ln,Cinnaminson,NJ,8077,https://greenlightningcannabis.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Oasis Dispensary,632 White Horse Pike,Atco,NJ,8004,https://greenoasisnj.com/,(856) 388-4126,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Green Wellness Haven,1110 N New Rd,Pleasantville,NJ,8232,https://learngreenhaven.com/,(609) 382-5553,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Greenstop Dispensary,516 Tonnelle Ave,Jersey City,NJ,7307,https://greenstopwellnessjc.com/,(201) 604-1281,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Gynsyng,14 S Center St,Merchantville,NJ,8109,https://www.gynsyng.com/,(908) 275-0385,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hackettstown Dispensary,321 Mountain Ave,Hackettstown,NJ,7840,https://www.hackettstowndispensarynj.com/,(908) 651-5542,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hamm & Chaz Cannabis Dispensary,747 West Side Ave,Jersey City,NJ,7306,https://www.hammchaz.com/,(201) 721-5507,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Happy Leaf,200 N White Horse Pike,Somerdale,NJ,8083,https://happyleafdispensarynj.com/,(856) 545-7024,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hashery,409 NJ-17,Hackensack,NJ,7601,https://hasherynj.com/,(201) 606-0002,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hashstoria NJ,799 Broad St,Newark,NJ,7102,https://nj1015.com/newark-cannabis-lounge-shutdown,(800) 283-1015,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hello High,7685 Black Horse Pike,Hammonton,NJ,8037,https://hellohigh.com/,(609) 567-4444,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Herb's Premium Dispensary,757 Franklin Blvd,Somerset,NJ,8873,https://herbspremiumdispensary.com/,(732) 522-8893,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Herbalicity,246 Raritan Ave,Highland Park,NJ,8904,https://herbalicity.com/,(732) 328-6740,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Profile Lakehurst,145 NJ-70,Lakehurst,NJ,8733,https://highprofilecannabis.com/shop/lakehurst-dispensary,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Profile of Somerdale Dispensary,4 N White Horse Pike,Somerdale,NJ,8083,https://highprofilecannabis.com/nj/somerdale-dispensary,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Rollers Dispensary,120 S Indiana Ave,Atlantic City,NJ,8401,https://highrollersdispensary.com/,(609) 246-6823,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Street Dispensary,811 High St,Hackettstown,NJ,7840,https://njhighstreet.com/,(833) 865-5924,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Highway 90,90 Old Marlton Pike,Evesham,NJ,8053,https://www.thehighway90.com/,(856) 607-3473,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Holistic Re-Leaf,321 Mt Hope Ave,Rockaway,NJ,7866,https://holisticreleafnj.com/,(973) 453-6645,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Honey Buzz Farms,1724 Atlantic Ave,Atlantic City,NJ,8401,https://honeybuzzfarms.com/,(609) 957-5658,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
HudHaus,9001 River Rd,North Bergen,NJ,7047,https://hudhaus.co/age-gate,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hudsonica Inc.,1427 Grand St,Hoboken,NJ,7030,https://hudsonicadispensary.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
HZY Goods,19 Prospect St,East Orange,NJ,7017,https://www.hzygoods.com/,(973) 200-3030,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Indigo,302 Crescent Blvd,Brooklawn,NJ,8030,https://www.indigodispensary.com/,(609) 920-1818,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
INSA Coastline Dispensary,1580 US-9,Cape May Court House,NJ,8210,https://coastlinedispensary.com/,(609) 445-4420,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Island Vibez,18 Roosevelt Ave,Plainfield,NJ,7060,https://islandvibezdispensary.com/,(908) 941-4875,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
J & J Cannabis Dispensary,3055 NJ-23 Unit A,Oak Ridge,NJ,7438,https://www.jjdispensary.com/,(973) 200-0705,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
JC Element,365 Central Ave,Jersey City,NJ,7307,https://jcelement.com/,(201) 360-0588,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jersey Leaf,554 West Side Ave,Jersey City,NJ,7304,https://jerseyleaf.net/,(201) 951-5380,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jersey Meds,7 NJ-31,Pennington,NJ,8534,https://jerseymeds.com/,(609) 365-3002,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jersey Roots,1433 Union Valley Rd,West Milford,NJ,7480,https://www.jerseyrootsdispensary.com/,(973) 506-4853,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Jester's Joint,70 Easton Ave,New Brunswick,NJ,8901,https://jestersdispensary.com/,(848) 800-2700,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Joy Leaf,711 E 1st Ave,Roselle Park,NJ,7204,https://joyleaf.com/,(908) 287-5414,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Kind Kush,279 US-46,Rockaway,NJ,7866,https://www.kindkushdispensary.com/,(973) 586-9333,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Kine Buds Maywood,113 E Passaic St,Maywood,NJ,7607,https://app.jointcommerce.com/dispensaries/10961,(201) 956-8800,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
La Vida Gardens,523 Washington Ave,Belleville,NJ,7109,https://lavidagardens.com/,(973) 259-6736,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Lady L Cannabis,547 West Side Ave,Jersey City,NJ,7304,https://ladyljerseycity.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Leaf Haus,900 Easton Ave,Somerset,NJ,8873,https://leafhaus.com/,(908) 908-9333,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Leaf Joint,391 Central Ave,Jersey City,NJ,7307,https://www.theleafjoint.net/,(201) 630-4356,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Legacy to Lifted,490 West Side Ave,Jersey City,NJ,7304,https://www.liftednj.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Legal Distribution,3112 Atlantic Ave,Atlantic City,NJ,8401,https://legaldistributionnj.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Lemon 22,2006 US-22,Scotch Plains,NJ,7076,https://lemon22nj.com/,(908) 490-0039,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Loud House,112 N 3rd St,Camden,NJ,8102,https://www.nj.com/marijuana/2022/09/this-could-soon-be-nj-citys-first-legal-weed-store-its-owners-have-big-dreams.html,(609) 989-5454,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mad Hatter Dispensary,845 US-1,Avenel,NJ,7001,https://www.madhatterdispensary.com/,(732) 636-5070,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Main Street Dispensary,311 Raritan Ave,Highland Park,NJ,8904,https://mainstreetdispensarynj.com/,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mass Grown,34 Mill St,Mt Holly,NJ,8060,https://massgrownnj.com/,(609) 518-9333,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Med Leaf,201 Philadelphia Ave,Egg Harbor City,NJ,8215,https://www.medleafdispensary.com/,(609) 616-0420,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Midnight Greens,5100 NJ-42,Blackwood,NJ,8012,https://midnightgreensnj.com/,(856) 818-5335,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
MindLift Dispensary,517 Park Ave,Plainfield,NJ,7060,https://mindliftdispensary.com/,(908) 588-2322,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
MMD NJ,655 Newark Ave,Jersey City,NJ,7306,https://mmdshops.com/location/jersey-city,(877) 420-5874,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Moja Life,28 S Warren St,Trenton,NJ,8608,https://moja-life.com/,(609) 228-0060,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Molly Ann Farms,256 Belmont Ave,Haledon,NJ,7508,https://mollyannfarms.com/haledon,(973) 315-4900,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mountain Dispensary,46 NJ-94,Vernon Township,NJ,7462,https://mountaindispensarynj.com/age-gate,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Mountain View Farmacy,74 Oak Ridge Rd,Oak Ridge,NJ,7438,https://mvf.earth/,(973) 319-6420,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
NAR Cannabis,4004 Church Rd,Mt Laurel Township,NJ,8054,https://narcannabis.com/mount-laurel-location,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Natural Apothecary,27 Washington Ave,Belleville,NJ,7109,https://natural-apothecary.com/service-area/belleville-nj,(973) 755-2918,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nature’s Motivation,1095 Clinton Ave,Irvington,NJ,7111,https://natmotive.com/,(973) 604-1111,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nevaeh Verde Dispensary,176 Belmont Ave,Belleville,NJ,7109,https://nevaehverdedispensary.com/,(973) 758-6011,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
New Era Dispensary,80-88 Main St,South Bound Brook,NJ,8880,https://neweradispensary.com/,(732) 709-9842,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
New Frontier Solutions,473 E Broadway,Salem,NJ,8079,https://salemcountychamber.com/business-directory-shoppers-guide/alcohol-recreational-cannabis/name/new-frontier-solutions,(856) 351-2245,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Nightjar,549 Bloomfield Ave,Bloomfield,NJ,7003,https://nightjarcannabis.com/,(973) 707-2915,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
